Date,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom,PC1,PC2,PC3,PC4,PC5,Regime
2000-09-30,-5.44,0.27,7.24,2.7,5.54,0.51,1.89,2.3662997353586186,0.7422030108840165,-0.7166310535936153,1.2477759930850782,-0.4338612148471612,1
2000-10-31,-2.78,-2.58,5.58,9.54,3.71,0.56,-4.56,1.9665473331757275,1.4018500758464647,-1.0810769409918257,0.39275256844214645,0.6036384598837545,1
2000-11-30,-10.7,-0.35,12.24,13.05,8.35,0.51,-2.17,1.9489091722416632,1.453877921854881,-1.104850481648523,0.47482878612200924,0.6448149483917877,1
2000-12-31,1.18,3.26,7.55,1.92,4.82,0.5,6.59,1.620521836323728,1.312581664104144,-1.2039438907270503,0.7610089551510558,0.6114354124943723,1
2001-01-31,3.25,5.23,-5.05,-5.2,-5.21,0.54,-25.3,1.2724883908892923,1.0982983825077945,-0.7001986027815459,1.5737579736691785,-0.5057856367277661,1
2001-02-28,-10.03,2.87,12.23,9.12,9.01,0.38,12.6,1.00966140742619,1.2817725622203102,-0.8784919766177577,0.5318258177197082,-0.30983012789473113,1
2001-03-31,-7.25,2.33,6.47,3.34,3.72,0.42,8.65,0.4903869161888489,1.8804994035374722,-1.2000911450339766,0.26897850894022074,0.15642267820985015,1
2001-04-30,7.94,-0.88,-4.64,-3.18,-3.19,0.39,-8.01,0.43042310764616576,1.3201457778501888,-0.6487866547527018,0.5880913711978326,0.7622400882178044,1
2001-05-31,0.68,3.55,3.38,0.29,1.95,0.32,2.15,0.7314637822267317,0.425403121488442,-0.0329503379183048,1.1863986456558038,0.14124445323405163,1
2001-06-30,-1.94,6.69,-1.26,1.57,-1.67,0.28,0.62,0.47452459321321816,0.5530623487203381,-0.08939587884274561,0.26054680408453473,0.2666134949239421,1
2001-07-31,-2.13,-2.86,4.95,7.29,2.9,0.3,5.48,0.04238062847347859,1.5494095715419933,-0.5940968677164682,-0.9294268176949926,-0.07710316362893568,2
2001-08-31,-6.4,2.54,2.86,3.81,6.53,0.31,5.46,-0.13653459208070817,1.3161625257757321,-0.4486913033826897,-0.40620161425282775,-0.24548175977099698,2
2001-09-30,-9.24,-5.74,1.52,5.03,3.35,0.28,11.3,-0.9272429957101056,1.7657275250512308,-0.4590201786587573,1.7931697751728792,0.0965654793791326,2
2001-10-31,2.48,5.34,-7.31,-2.98,-4.36,0.22,-8.32,-1.548554121350008,2.0876677822651835,-0.6347649961192301,-0.5101001324348173,1.134763720210128,2
2001-11-30,7.53,-0.36,2.17,-3.49,-1.68,0.17,-8.61,-1.2899246720869006,1.3072445448243684,-0.1388344842981227,-0.2677677895626578,0.5705125532785258,2
2001-12-31,1.61,5.11,0.83,0.26,-0.28,0.15,0.02,-1.088950630147075,1.1261848285816056,0.23939909006249688,-0.5170865832017891,0.3885584900282842,2
2002-01-31,-1.44,1.28,3.42,4.73,2.83,0.14,3.65,-0.8646733368465971,0.43579715452562773,0.5681278359285846,0.056823311816832374,0.5136957604606146,2
2002-02-28,-2.28,-0.38,2.34,8.03,5.1,0.13,6.83,-0.9335642591011653,0.4873845678899119,0.4433045260948358,0.22210677321501568,0.5522332669108946,2
2002-03-31,4.24,4.15,1.08,-1.83,0.66,0.13,-1.69,-0.45815777483600306,0.13433961320323237,0.6912147492081816,0.2964790173416927,0.23707605932741083,2
2002-04-30,-5.21,6.63,4.01,4.59,5.35,0.15,7.7,-0.5115243188490775,0.09071174761877701,0.8256536712158048,0.8265841332989705,-0.052140234703166116,2
2002-05-31,-1.36,-3.07,1.52,2.31,2.53,0.14,3.09,-0.8238679654578152,0.54045685287895,0.5532765760793309,-0.21893751902276845,0.3131185071513662,2
2002-06-30,-7.23,3.76,0.37,3.92,2.66,0.13,6.24,-1.1335637163684633,0.9374010147264451,0.28155845401586205,-0.03302700818404904,0.6279029329547756,2
2002-07-31,-8.19,-6.33,-3.51,3.84,-1.1,0.15,3.63,-1.617805714904903,1.4640332774748586,0.04721266800580208,1.0418435453868709,0.7864439192395805,2
2002-08-31,0.5,-1.28,3.01,1.37,-1.4,0.14,1.87,-1.7671048640062155,1.2610680421920855,-0.031829442358061705,1.2499392998030365,0.7065691280408624,2
2002-09-30,-10.34,3.05,1.26,3.29,-2.29,0.14,9.18,-2.0361913968817937,1.6751324386753046,-0.5355358108520785,1.2128546795413166,1.0385497628602753,2
2002-10-31,7.84,-4.29,-3.76,-3.16,0.73,0.14,-5.58,-2.1953048048828303,1.6756133770077069,-0.3958390456842161,1.2695501050353573,0.731802853544675,2
2002-11-30,5.96,2.94,-1.16,-9.25,5.16,0.12,-16.4,-2.0525462601235573,1.1208587407872526,-0.007960208851972014,0.6423704068164079,0.3502559525679932,2
2002-12-31,-5.76,0.55,2.11,6.32,-1.79,0.11,9.72,-2.061086005882899,1.0665880230063807,0.06999964091654381,0.5455644691987978,0.32256768504490413,2
2003-01-31,-2.57,0.71,-0.79,-0.93,0.69,0.1,1.59,-1.821207616945192,0.4465202159261038,0.3816753040951402,1.2993575052668802,0.31866688313229824,2
2003-02-28,-1.88,-0.87,-1.36,0.79,-0.68,0.09,1.21,-1.8288402457938666,0.5117308737084542,0.3374838402887804,2.0358005287630583,0.36505907928724257,2
2003-03-31,1.09,0.77,-2.11,1.68,-0.81,0.1,1.4,-2.010384796267375,0.8731490645758694,0.027875835784250128,0.6361001601075377,0.6681594650271593,2
